Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1961","1961","tonnes","100","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1962","1962","tonnes","100","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1963","1963","tonnes","100","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1964","1964","tonnes","28","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1965","1965","tonnes","100","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1966","1966","tonnes","149","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1967","1967","tonnes","110","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1968","1968","tonnes","357","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1969","1969","tonnes","96","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1970","1970","tonnes","8883","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1971","1971","tonnes","3792","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1972","1972","tonnes","2391","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1973","1973","tonnes","1722","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1974","1974","tonnes","2440","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1975","1975","tonnes","2211","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1976","1976","tonnes","9861","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1977","1977","tonnes","36813","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1978","1978","tonnes","46975","","Official data"
"TP","Crops and livestock products","159","Nigeria","5610","Import Quantity","56","Maize","1979","1979","tonnes","110000","*","Unofficial figure"
